DP_FONCT	Menu Fonctionnement
DP_W_RECETTE_M	Modification des Recettes-WL
DP_W_MANDAT	Gestion des Mandats-WL
DP_W_MANDAT_EM	Emission Mandats-WL
DP_W_MANDAT_EM_HD	Emission des Mandats Hors Délais-WL
DP_W_MANDAT_VERIF	Vérification des Mandats-WL
DP_W_MANDAT_AD	Admission ou rejet des mandats-WL
DP_W_MANDAT_AD_DEC	Admission des mandats à Découvert-WL
DP_W_MANDAT_DISP	Disponibilité des crédits-WL
DP_W_MANDAT_DISP_DEC	Admissiion sans Vérification de Disponibilité-WL
DP_W_MANDAT_OPPOS	Vérification des Oppositions-WL
DP_W_MANDAT_REG	Règlement des Mandats-WL
DP_W_MANDAT_REG_A	Annulation Règlement-WL
DP_W_MANDAT_MODIF	Modification et Suppression des Mandats-WL
DP_W_MANDAT_CONSULT	Consultaion des mandats-WL
DP_W_EDIT_CTL	Edition Situations et Contrôles-WL
DP_W_EDIT_TR6	Edition TR.6-WL
DP_EPA	Menu EPA
DP_EPA_CLOT_GEST	Clôture de la Gestion-EPA
DP_EPA_TAB_STAT	Saisie Ord-Chap-Banques-EPA
DP_EPA_CREDIT	Prise en charge des crédits-EPA
DP_EPA_CREDIT_S	Saisie des crédits-EPA
DP_EPA_CREDIT_A	Annulation de crédits-EPA
DP_EPA_CREDIT_M	Modification des Crédits-EPA
DP_EPA_RECETTE	Prise en charge des Recettes-EPA
DP_EPA_RECETTE_S	Saisie des Recettes-EPA
DP_EPA_RECETTE_M	Modification des Opérations de Recettes-EPA
DP_EPA_MANDAT	Gestion des Mandats-EPA
DP_EPA_MANDAT_EM	Emission des Mandats-EPA
DP_EPA_MANDAT_EM_HD	Emission des Mandats Hors Délais-EPA
DP_EPA_MANDAT_VERIF	Vérification des Mandats-EPA
DP_EPA_MANDAT_AD	Admission ou rejet des mandats-EPA
DP_EPA_MANDAT_AD_DEC	Admission des mandats à Découvert-EPA
DP_EPA_MANDAT_DISP	Disponibilité des crédits-EPA
DP_EPA_MANDAT_DISP_DEC	Admissiion sans Vérification de Disponibilité-EPA
DP_EPA_MANDAT_OPPOS	Vérification des Oppositions-EPA
DP_EPA_MANDAT_REG	Règlement des Mandats-EPA
DP_EPA_MANDAT_REG_A	Annulation Règlement-EPA
DP_EPA_MANDAT_MODIF	Modification et Suppression des Mandats-EPA
DP_EPA_MANDAT_CONSULT	Consultaion des mandats-EPA
DP_EPA_EDIT_CTL	Edition Situations et Contrôles-EPA
DP_EPA_EDIT_TR6	Edition TR.6-EPA
DP_CPT_SPEC	Menu COMPTES SPECIAUX
DP_SPEC_CLOT_GEST	Clôture de la Gestion-C-SPEC
DP_SPEC_TAB_STAT	Saisie Ord-Banques-Bénef-C-SPEC
DP_SPEC_CREDIT	Prise en charge des crédits-C-SPEC
DP_SPEC_CREDIT_S	Saisie des crédits-C-SPEC
DP_SPEC_CREDIT_A	Annulation de crédits-C-SPEC
DP_SPEC_MANDAT	Gestion des Mandats-C-SPEC
DP_SPEC_MANDAT_EM	Emission des Mandats-C-SPEC
DP_SPEC_MANDAT_EM_HD	Emission des Mandats Hors Délais-C-SPEC
DP_SPEC_MANDAT_VERIF	Vérification des Mandats-C-SPEC
DP_SPEC_MANDAT_AD	Admission ou rejet des mandats-C-SPEC
DP_SPEC_MANDAT_AD_DEC	Admission des mandats à Découvert-C-SPEC
DP_SPEC_MANDAT_DISP	Disponibilité des crédits-C-SPEC
DP_SPEC_MANDAT_DISP_DEC	Admissiion sans Vérification de Disponibilité-C-SPEC
DP_SPEC_MANDAT_OPPOS	Vérification des Oppositions-C-SPEC
DP_SPEC_MANDAT_REG	Règlement des Mandats-C-SPEC
DP_SPEC_MANDAT_REG_A	Annulation Règlement-C-SPEC
DP_SPEC_MANDAT_MODIF	Modification et Suppression des Mandats-C-SPEC
DP_SPEC_MANDAT_CONSULT	Consultaion des mandats-C-SPEC
DP_SPEC_EDIT_CTL	Edition Situations et Contrôles-C-SPEC
DP_SPEC_EDIT_TR6	Edition TR.6-C-SPEC
DP_OPPOSIT	Menu OPPOSITIONS
DP_OPPOSIT_ATD	Prise en charge des Oppositions
DP_OPPOSIT_ATD_S	Saisie des Oppositions
DP_OPPOSIT_ATD_M	Modification des Oppositions
DP_OPPOSIT_ATD_A	Annulation des Oppositions
DP_OPPOSIT_ATD_REG	Règlement d'Oppositions
DP_OPPOSIT_ATD_INT	Consultation des Mainlevées
DP_OPPOSIT_TP	Prise en charge des TP envoyés par le Recouvrement
DP_OPPOSIT_TP_INT	Consultation des TP envoyés par le Recouvrement
DP_OPPOSIT_RECH	Recherche Générale
DP_OPPOSIT_REDEV	REDEVABLES
DP_ADMIN_USER	ADMINISTRATION du Module
DP_F_EDIT_FJ	Edition Feuille de Journée-FCT
DP_F_EDIT_CTL_REG	Edition Contrôles Réglement-FCT
